Dataset,tid,model,metric,metric_error,metric_error_val
Bioresponse,363620,REALMLP_GPU (default),roc_auc,0.1277162581661493,0.16714079615075184
Diabetes130US,363630,REALMLP_GPU (default),roc_auc,0.33001333385480247,0.3654193820406353
E-CommereShippingData,363632,REALMLP_GPU (default),roc_auc,0.25978877966114267,0.2501601816512875
Fitness_Club,363671,REALMLP_GPU (default),roc_auc,0.19721718088324258,0.1926791779730166
Food_Delivery_Time,363672,REALMLP_GPU (default),rmse,7.990596294403076,7.957243919372559
GiveMeSomeCredit,363673,REALMLP_GPU (default),roc_auc,0.1307752903020537,0.13668187261963682
HR_Analytics_Job_Change_of_Data_Scientists,363679,REALMLP_GPU (default),roc_auc,0.18812231002740032,0.20927881964702655
Is-this-a-good-customer,363682,REALMLP_GPU (default),roc_auc,0.2658212776090969,0.27550249357714973
MIC,363711,REALMLP_GPU (default),log_loss,0.507548225723985,0.5677586398042186
Marketing_Campaign,363684,REALMLP_GPU (default),roc_auc,0.0688495098872457,0.11622117863069814
NATICUSdroid,363689,REALMLP_GPU (default),roc_auc,0.014805054910038917,0.015483882332217647
QSAR-TID-11,363697,REALMLP_GPU (default),rmse,0.850298522399872,0.7576402684385212
QSAR_fish_toxicity,363698,REALMLP_GPU (default),rmse,0.902031865224557,0.8229569532316025
SDSS17,363699,REALMLP_GPU (default),log_loss,0.105774584839073,0.11829966650426979
airfoil_self_noise,363612,REALMLP_GPU (default),rmse,1.1261888658361736,1.3431143627327033
anneal,363614,REALMLP_GPU (default),log_loss,0.03160915622542364,0.032958915024091526
bank-marketing,363618,REALMLP_GPU (default),roc_auc,0.22827088853961497,0.24629013828118818
blood-transfusion-service-center,363621,REALMLP_GPU (default),roc_auc,0.2549999999999999,0.22258028545941133
churn,363623,REALMLP_GPU (default),roc_auc,0.07064219640171032,0.08076212053097831
coil2000_insurance_policies,363624,REALMLP_GPU (default),roc_auc,0.25468558722862056,0.27328198582114127
concrete_compressive_strength,363625,REALMLP_GPU (default),rmse,5.013467964220634,4.784868424519744
credit-g,363626,REALMLP_GPU (default),roc_auc,0.2103846153846154,0.20343347639484977
credit_card_clients_default,363627,REALMLP_GPU (default),roc_auc,0.21021476333507016,0.22119539026285162
customer_satisfaction_in_airline,363628,REALMLP_GPU (default),roc_auc,0.005152703153438187,0.005447489173758813
diabetes,363629,REALMLP_GPU (default),roc_auc,0.14993306559571629,0.1709109870147345
diamonds,363631,REALMLP_GPU (default),rmse,530.2863856542298,537.5015990464366
hazelnut-spread-contaminant-detection,363674,REALMLP_GPU (default),roc_auc,0.017874999999999974,0.020815625000000004
healthcare_insurance_expenses,363675,REALMLP_GPU (default),rmse,4169.775918222015,4745.500600034513
heloc,363676,REALMLP_GPU (default),roc_auc,0.20082532943960663,0.20202477791060225
hiva_agnostic,363677,REALMLP_GPU (default),log_loss,0.18712801390708717,0.2105534581406089
houses,363678,REALMLP_GPU (default),rmse,0.22671206467357857,0.2291202189518248
in_vehicle_coupon_recommendation,363681,REALMLP_GPU (default),roc_auc,0.15831116633096887,0.18333290578557626
jm1,363712,REALMLP_GPU (default),roc_auc,0.2522533111019616,0.28305807253175674
kddcup09_appetency,363683,REALMLP_GPU (default),roc_auc,0.18082823757839028,0.23552760211014057
maternal_health_risk,363685,REALMLP_GPU (default),log_loss,0.5935180898948357,0.5496543067648993
miami_housing,363686,REALMLP_GPU (default),rmse,88388.02859711126,87261.25246903581
online_shoppers_intention,363691,REALMLP_GPU (default),roc_auc,0.07759212189019604,0.06929327655938267
physiochemical_protein,363693,REALMLP_GPU (default),rmse,3.4791492880372212,3.6350453050109883
polish_companies_bankruptcy,363694,REALMLP_GPU (default),roc_auc,0.030141445891333496,0.04472545107736903
qsar-biodeg,363696,REALMLP_GPU (default),roc_auc,0.0677678796840624,0.07357059722121184
seismic-bumps,363700,REALMLP_GPU (default),roc_auc,0.21346845374305334,0.23787654619755028
splice,363702,REALMLP_GPU (default),log_loss,0.09758665445358232,0.17361483315551557
students_dropout_and_academic_success,363704,REALMLP_GPU (default),log_loss,0.5778146580363608,0.5495273929139913
superconductivity,363705,REALMLP_GPU (default),rmse,9.458875804668654,9.954560791145694
taiwanese_bankruptcy_prediction,363706,REALMLP_GPU (default),roc_auc,0.05432752179327516,0.06684883546507936
website_phishing,363707,REALMLP_GPU (default),log_loss,0.22505026052985158,0.24416192890912208
wine_quality,363708,REALMLP_GPU (default),rmse,0.6102293133735657,0.6599252223968506
APSFailure,363616,REALMLP_GPU (tuned + ensemble),roc_auc,0.005193680822412672,0.004447247152794542
Amazon_employee_access,363613,REALMLP_GPU (tuned + ensemble),roc_auc,0.1298781410326585,0.11661947692266916
Another-Dataset-on-used-Fiat-500,363615,REALMLP_GPU (tuned + ensemble),rmse,690.2745994021611,698.1350773879441
Bank_Customer_Churn,363619,REALMLP_GPU (tuned + ensemble),roc_auc,0.1219179639937984,0.12514296091264143
